InvoiceID,SalesLineID_nonEU,InvoiceDate,CustomerID,CustomerOrderCount,CustomerSegment,Country,MarketRegion,StockCode,Description,ProductCategory,ProductMaterial,ProductColor,UnitPrice_USD,SalesTax_Rate,ImportDuty_Rate,UnitPrice_Tax_USD,UnitPrice_Duty_USD,UnitPrice_Gross_USD,UnitCost_USD,CostAmount_USD,Shipping_Zone_nonEU,Shipping_Fee_nonEU,Currency,Quantity,CustomerType_nonEU,KYC_Level_nonEU,PreferredLanguage_nonEU,CustomerTenureDays_nonEU,LoyaltyScore_nonEU,HS_Code_nonEU,CountryOfOrigin_nonEU,Incoterms_nonEU,SalesTax_Amount_USD,ImportDuty_Amount_USD,CustomsFormRequired_nonEU,DeMinimisFlag_nonEU,Carrier_nonEU,EstimatedDeliveryDays_nonEU,ShippingInsurance_USD
553546,NE_LN_180199,6/30/25 2:53,12415,26,ACTIVE,Australia,nonEU,23049,RECYCLED ACAPULCO MAT RED,MISC,OTHER,RED,8.25,0.1,0.03,0.82,0.25,9.32,4.54,9.08,APAC,19.99,USD,2,B2B,HIGH,EN,131,83,9999-54,IN,DAP,0.82,0.25,1,0,DHL,12,0.0
545065,NE_LN_96276,4/12/25 1:54,12431,16,ACTIVE,Australia,nonEU,21936,RED RETROSPOT PICNIC BAG,BAG,OTHER,RED,2.95,0.1,0.03,0.3,0.09,3.34,1.62,8.1,APAC,19.99,USD,5,B2C,MED,EN,88,65,4202-48,VN,DAP,0.3,0.09,1,0,DHL,12,0.0
563614,NE_LN_281327,9/30/25 20:02,12415,26,ACTIVE,Australia,nonEU,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,MISC,OTHER,UNKNOWN,2.1,0.1,0.03,0.21,0.06,2.37,1.16,37.12,APAC,0.0,USD,32,B2B,HIGH,EN,223,83,9999-27,EU,DAP,0.21,0.06,1,0,DHL,12,0.0
553546,NE_LN_180147,6/30/25 2:53,12415,26,ACTIVE,Australia,nonEU,85014A,BLACK/BLUE POLKADOT UMBRELLA,MISC,OTHER,BLUE,5.95,0.1,0.03,0.6,0.18,6.73,3.27,19.62,APAC,19.99,USD,6,B2B,HIGH,EN,131,83,9999-07,EU,DAP,0.6,0.18,1,0,DHL,12,0.0
540267,NE_LN_43146,2/18/25 22:23,12415,26,ACTIVE,Australia,nonEU,84218,BOX/12 CHICK & EGG IN BASKET,BOX,OTHER,UNKNOWN,1.69,0.1,0.03,0.17,0.05,1.91,0.93,55.8,APAC,0.0,USD,60,B2B,HIGH,EN,0,83,3923-53,VN,DAP,0.17,0.05,1,0,DHL,12,0.0
542542,NE_LN_70232,3/13/25 1:48,12431,16,ACTIVE,Australia,nonEU,22194,BLACK DINER WALL CLOCK,MISC,OTHER,BLACK,8.5,0.1,0.03,0.85,0.26,9.61,4.68,9.36,APAC,19.99,USD,2,B2C,MED,EN,58,65,9999-13,VN,DAP,0.85,0.26,1,0,DHL,12,0.0
576394,NE_LN_430156,12/28/25 21:43,12415,26,ACTIVE,Australia,nonEU,48194,DOORMAT HEARTS,MISC,OTHER,UNKNOWN,7.08,0.1,0.03,0.71,0.21,8.0,3.89,38.9,APAC,12.99,USD,10,B2B,HIGH,EN,312,83,9999-29,IN,DAP,0.71,0.21,1,0,DHL,12,0.0
543989,NE_LN_84065,3/30/25 21:03,12415,26,ACTIVE,Australia,nonEU,21249,WOODLAND  HEIGHT CHART STICKERS ,MISC,WOOD,UNKNOWN,2.55,0.1,0.03,0.26,0.08,2.89,1.4,84.0,APAC,0.0,USD,60,B2B,HIGH,EN,39,83,9999-56,US,DAP,0.26,0.08,1,0,DHL,12,0.0
569722,NE_LN_349709,11/18/25 20:42,12431,16,ACTIVE,Australia,nonEU,20712,JUMBO BAG WOODLAND ANIMALS,BAG,WOOD,UNKNOWN,2.08,0.1,0.03,0.21,0.06,2.35,1.14,11.4,APAC,12.99,USD,10,B2C,MED,EN,308,65,4202-34,IN,DAP,0.21,0.06,1,0,DHL,12,0.0
543989,NE_LN_84044,3/30/25 21:03,12415,26,ACTIVE,Australia,nonEU,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,MISC,OTHER,RED,3.75,0.1,0.03,0.38,0.11,4.24,2.06,148.32,APAC,0.0,USD,72,B2B,HIGH,EN,39,83,9999-31,US,DAP,0.38,0.11,1,0,DHL,12,0.0
540267,NE_LN_43158,2/18/25 22:23,12415,26,ACTIVE,Australia,nonEU,22620,4 TRADITIONAL SPINNING TOPS,MISC,OTHER,UNKNOWN,1.06,0.1,0.03,0.11,0.03,1.2,0.58,92.8,APAC,0.0,USD,160,B2B,HIGH,EN,0,83,9999-01,US,DAP,0.11,0.03,1,0,DHL,12,0.0
567085,NE_LN_317342,10/29/25 23:49,12434,4,NEW,Australia,nonEU,21623,VINTAGE UNION JACK MEMOBOARD,MISC,OTHER,UNKNOWN,9.95,0.1,0.03,1.0,0.3,11.25,5.47,10.94,APAC,19.99,USD,2,B2C,LOW,EN,276,23,9999-01,US,DAP,1.0,0.3,1,0,DHL,12,0.0
560033,NE_LN_244040,8/27/25 0:39,12388,6,NEW,Australia,nonEU,23298,SPOTTY BUNTING,MISC,OTHER,UNKNOWN,4.95,0.1,0.03,0.5,0.15,5.6,2.72,16.32,APAC,19.99,USD,6,B2C,MED,EN,178,31,9999-94,IN,DAP,0.5,0.15,1,0,DHL,12,0.0
C538723,NE_LN_27987,1/26/25 22:23,12434,4,NEW,Australia,nonEU,22094,RED RETROSPOT TISSUE BOX,BOX,OTHER,RED,1.25,0.1,0.03,0.12,0.04,1.41,0.69,-3.45,APAC,19.99,USD,-5,B2C,LOW,EN,0,23,3923-52,EU,DAP,0.12,0.04,1,0,DHL,12,0.0
545475,NE_LN_100348,4/15/25 22:10,12415,26,ACTIVE,Australia,nonEU,22699,ROSES REGENCY TEACUP AND SAUCER ,MISC,OTHER,UNKNOWN,2.55,0.1,0.03,0.26,0.08,2.89,1.4,33.6,APAC,12.99,USD,24,B2B,HIGH,EN,55,83,9999-53,VN,DAP,0.26,0.08,1,0,DHL,12,0.0
536389_R1,NE_LN_499212,1/20/25 21:14,12431,16,ACTIVE,Australia,nonEU,85014A,BLACK/BLUE POLKADOT UMBRELLA,MISC,OTHER,BLUE,5.95,0.1,0.03,0.6,0.18,6.73,3.27,9.81,APAC,19.99,USD,3,B2C,MED,EN,0,65,9999-07,EU,DAP,0.6,0.18,1,0,DHL,12,0.0
540267,NE_LN_43171,2/18/25 22:23,12415,26,ACTIVE,Australia,nonEU,21240,BLUE POLKADOT CUP,MISC,OTHER,BLUE,0.72,0.1,0.03,0.07,0.02,0.81,0.4,38.4,APAC,0.0,USD,96,B2B,HIGH,EN,0,83,9999-56,US,DAP,0.07,0.02,1,0,DHL,12,0.0
565145,NE_LN_296045,10/15/25 1:01,12415,26,ACTIVE,Australia,nonEU,22751,FELTCRAFT PRINCESS OLIVIA DOLL,MISC,OTHER,UNKNOWN,3.39,0.1,0.03,0.34,0.1,3.83,1.86,446.4,APAC,0.0,USD,240,B2B,HIGH,EN,238,83,9999-11,US,DAP,0.34,0.1,1,0,DHL,12,0.0
543989,NE_LN_84026,3/30/25 21:03,12415,26,ACTIVE,Australia,nonEU,22662,LUNCH BAG DOLLY GIRL DESIGN,BAG,OTHER,UNKNOWN,1.45,0.1,0.03,0.14,0.04,1.63,0.8,160.0,APAC,0.0,USD,200,B2B,HIGH,EN,39,83,4202-91,US,DAP,0.14,0.04,1,0,DHL,12,0.0
543989,NE_LN_84043,3/30/25 21:03,12415,26,ACTIVE,Australia,nonEU,22697,GREEN REGENCY TEACUP AND SAUCER,MISC,OTHER,GREEN,2.55,0.1,0.03,0.26,0.08,2.89,1.4,100.8,APAC,0.0,USD,72,B2B,HIGH,EN,39,83,9999-54,IN,DAP,0.26,0.08,1,0,DHL,12,0.0
545475,NE_LN_100415,4/15/25 22:10,12415,26,ACTIVE,Australia,nonEU,22024,RAINY LADIES BIRTHDAY CARD,CARD,OTHER,UNKNOWN,0.36,0.1,0.03,0.04,0.01,0.41,0.2,28.8,APAC,0.0,USD,144,B2B,HIGH,EN,55,83,4909-11,US,DAP,0.04,0.01,1,0,DHL,12,0.0
539500,NE_LN_36424,2/1/25 22:13,,0,NEW,Bahrain,nonEU,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,CANDLE,OTHER,UNKNOWN,3.81,0.1,0.02,0.38,0.08,4.27,2.1,113.4,ME,0.0,USD,54,B2C,LOW,AR/EN,,20,3406-16,US,DAP,0.38,0.08,1,0,UPS,10,0.0
550201,NE_LN_145912,5/28/25 21:36,12769,1,NEW,Brazil,nonEU,23049,RECYCLED ACAPULCO MAT RED,MISC,OTHER,RED,8.25,0.17,0.08,1.4,0.66,10.31,4.54,9.08,LATAM,19.99,USD,2,B2C,LOW,PT,0,27,9999-54,IN,DDP,1.4,0.66,1,0,POST_INTL,16,0.0
559557,NE_LN_238937,8/23/25 21:44,17444,3,NEW,Canada,nonEU,47593B,SCOTTIE DOGS BABY BIB,MISC,OTHER,UNKNOWN,0.39,0.05,0.03,0.02,0.01,0.42,0.21,10.08,NA,0.0,USD,48,B2C,LOW,EN/FR,21,25,9999-72,EU,EXW,0.02,0.01,0,0,FEDEX,7,0.0
557322,NE_LN_215141,8/2/25 20:15,17444,3,NEW,Canada,nonEU,22634,CHILDS BREAKFAST SET SPACEBOY ,MISC,OTHER,UNKNOWN,9.95,0.05,0.03,0.5,0.3,10.75,5.47,10.94,NA,19.99,USD,2,B2C,LOW,EN/FR,0,25,9999-20,CN,EXW,0.5,0.3,0,0,FEDEX,7,0.0
559557,NE_LN_238943,8/23/25 21:44,17444,3,NEW,Canada,nonEU,22400,MAGNETS PACK OF 4 HOME SWEET HOME,MISC,OTHER,UNKNOWN,0.39,0.05,0.03,0.02,0.01,0.42,0.21,2.52,NA,12.99,USD,12,B2C,LOW,EN/FR,21,25,9999-36,US,EXW,0.02,0.01,0,0,FEDEX,7,0.0
559557,NE_LN_238942,8/23/25 21:44,17444,3,NEW,Canada,nonEU,22403,MAGNETS PACK OF 4 VINTAGE LABELS ,MISC,OTHER,UNKNOWN,0.39,0.05,0.03,0.02,0.01,0.42,0.21,2.52,NA,12.99,USD,12,B2C,LOW,EN/FR,21,25,9999-79,IN,EXW,0.02,0.01,0,0,FEDEX,7,0.0
541975,NE_LN_65326,3/9/25 1:35,,0,NEW,Hong Kong,nonEU,22380,TOY TIDY SPACEBOY  ,MISC,OTHER,UNKNOWN,2.1,0.0,0.0,0.0,0.0,2.1,1.16,29.0,APAC,12.99,USD,25,B2C,LOW,ZH/EN,,20,9999-39,IN,EXW,0.0,0.0,1,0,FEDEX,12,0.0
553148,NE_LN_175952,6/26/25 1:20,,0,NEW,Hong Kong,nonEU,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",MISC,OTHER,UNKNOWN,4.95,0.0,0.0,0.0,0.0,4.95,2.72,10.88,APAC,19.99,USD,4,B2C,LOW,ZH/EN,,20,9999-14,IN,EXW,0.0,0.0,1,0,FEDEX,12,0.0
571652,NE_LN_370489,11/30/25 23:28,,0,NEW,Hong Kong,nonEU,37495,FAIRY CAKE BIRTHDAY CANDLE SET,CANDLE,OTHER,UNKNOWN,3.75,0.0,0.0,0.0,0.0,3.75,2.06,8.24,APAC,19.99,USD,4,B2C,LOW,ZH/EN,,20,3406-58,VN,EXW,0.0,0.0,1,0,FEDEX,12,0.0
541975,NE_LN_65323,3/9/25 1:35,,0,NEW,Hong Kong,nonEU,20682,RED RETROSPOT CHILDRENS UMBRELLA,MISC,OTHER,RED,3.25,0.0,0.0,0.0,0.0,3.25,1.79,10.74,APAC,19.99,USD,6,B2C,LOW,ZH/EN,,20,9999-60,CN,EXW,0.0,0.0,1,0,FEDEX,12,0.0
553148,NE_LN_175976,6/26/25 1:20,,0,NEW,Hong Kong,nonEU,84906,PINK BUTTERFLY CUSHION COVER,MISC,OTHER,PINK,1.95,0.0,0.0,0.0,0.0,1.95,1.07,6.42,APAC,19.99,USD,6,B2C,LOW,ZH/EN,,20,9999-31,US,EXW,0.0,0.0,1,0,FEDEX,12,0.0
541975,NE_LN_65290,3/9/25 1:35,,0,NEW,Hong Kong,nonEU,22554,PLASTERS IN TIN WOODLAND ANIMALS,MISC,WOOD,UNKNOWN,1.65,0.0,0.0,0.0,0.0,1.65,0.91,32.76,APAC,0.0,USD,36,B2C,LOW,ZH/EN,,20,9999-97,EU,EXW,0.0,0.0,1,0,FEDEX,12,0.0
541975,NE_LN_65327,3/9/25 1:35,,0,NEW,Hong Kong,nonEU,21843,RED RETROSPOT CAKE STAND,MISC,OTHER,RED,10.95,0.0,0.0,0.0,0.0,10.95,6.02,24.08,APAC,19.99,USD,4,B2C,LOW,ZH/EN,,20,9999-35,CN,EXW,0.0,0.0,1,0,FEDEX,12,0.0
553148,NE_LN_175967,6/26/25 1:20,,0,NEW,Hong Kong,nonEU,21245,GREEN POLKADOT PLATE ,MISC,OTHER,GREEN,1.69,0.0,0.0,0.0,0.0,1.69,0.93,14.88,APAC,12.99,USD,16,B2C,LOW,ZH/EN,,20,9999-17,EU,EXW,0.0,0.0,1,0,FEDEX,12,0.0
563613,NE_LN_281183,9/30/25 20:00,12688,1,NEW,Israel,nonEU,21791,VINTAGE HEADS AND TAILS CARD GAME ,CARD,OTHER,UNKNOWN,1.25,0.17,0.04,0.21,0.05,1.51,0.69,8.28,ME,12.99,USD,12,B2C,LOW,HE/EN,0,18,4909-92,EU,DAP,0.21,0.05,1,0,UPS,10,0.0
563613,NE_LN_281227,9/30/25 20:00,12688,1,NEW,Israel,nonEU,23345, DOLLY GIRL BEAKER,MISC,OTHER,UNKNOWN,1.25,0.17,0.04,0.21,0.05,1.51,0.69,8.28,ME,12.99,USD,12,B2C,LOW,HE/EN,0,18,9999-01,US,DAP,0.21,0.05,1,0,UPS,10,0.0
559948,NE_LN_243552,8/26/25 21:52,12653,2,NEW,Israel,nonEU,23240,SET OF 4 KNICK KNACK TINS DOILEY ,MISC,OTHER,UNKNOWN,3.75,0.17,0.04,0.64,0.15,4.54,2.06,98.88,ME,0.0,USD,48,B2C,LOW,HE/EN,147,26,9999-10,CN,DAP,0.64,0.15,1,0,UPS,10,0.0
563613,NE_LN_281170,9/30/25 20:00,12688,1,NEW,Israel,nonEU,21078,SET/20 STRAWBERRY PAPER NAPKINS ,MISC,PAPER,UNKNOWN,0.85,0.17,0.04,0.14,0.03,1.02,0.47,5.64,ME,12.99,USD,12,B2C,LOW,HE/EN,0,18,9999-52,EU,DAP,0.14,0.03,1,0,UPS,10,0.0
540556,NE_LN_47826,2/22/25 21:09,,0,NEW,Israel,nonEU,47566,PARTY BUNTING,MISC,OTHER,UNKNOWN,4.65,0.17,0.04,0.79,0.19,5.63,2.56,25.6,ME,12.99,USD,10,B2C,LOW,HE/EN,,20,9999-01,US,DAP,0.79,0.19,1,0,UPS,10,0.0
563613,NE_LN_281093,9/30/25 20:00,12688,1,NEW,Israel,nonEU,21000,ROSE DU SUD COSMETICS BAG,BAG,OTHER,UNKNOWN,4.25,0.17,0.04,0.72,0.17,5.14,2.34,14.04,ME,19.99,USD,6,B2C,LOW,HE/EN,0,18,4202-57,EU,DAP,0.72,0.17,1,0,UPS,10,0.0
563613,NE_LN_281199,9/30/25 20:00,12688,1,NEW,Israel,nonEU,85015,SET OF 12  VINTAGE POSTCARD SET,CARD,OTHER,UNKNOWN,0.65,0.17,0.04,0.11,0.03,0.79,0.36,8.64,ME,12.99,USD,24,B2C,LOW,HE/EN,0,18,4909-63,VN,DAP,0.11,0.03,1,0,UPS,10,0.0
563613,NE_LN_281174,9/30/25 20:00,12688,1,NEW,Israel,nonEU,23053,RECYCLED ACAPULCO MAT PINK,MISC,OTHER,PINK,8.25,0.17,0.04,1.4,0.33,9.98,4.54,18.16,ME,19.99,USD,4,B2C,LOW,HE/EN,0,18,9999-49,IN,DAP,1.4,0.33,1,0,UPS,10,0.0
550344,NE_LN_148052,5/31/25 20:11,12754,5,NEW,Japan,nonEU,22494,EMERGENCY FIRST AID TIN ,MISC,OTHER,UNKNOWN,1.06,0.1,0.02,0.11,0.02,1.19,0.58,55.68,APAC,0.0,USD,96,B2C,MED,JA,72,27,9999-22,EU,DAP,0.11,0.02,1,0,UPS,12,0.0
538397,NE_LN_24507,1/24/25 22:55,12753,11,ACTIVE,Japan,nonEU,22654,DELUXE SEWING KIT ,MISC,OTHER,UNKNOWN,5.95,0.1,0.02,0.6,0.12,6.67,3.27,68.67,APAC,12.99,USD,21,B2C,MED,JA,0,32,9999-62,EU,DAP,0.6,0.12,1,0,UPS,12,0.0
561388,NE_LN_259318,9/8/25 20:43,12753,11,ACTIVE,Japan,nonEU,23188,VINTAGE  2 METER FOLDING RULER,MISC,OTHER,UNKNOWN,1.65,0.1,0.02,0.16,0.03,1.84,0.91,32.76,APAC,0.0,USD,36,B2C,MED,JA,226,32,9999-94,IN,DAP,0.16,0.03,1,0,UPS,12,0.0
566623,NE_LN_313338,10/27/25 20:42,12756,1,NEW,Japan,nonEU,21788,KIDS RAIN MAC BLUE,MISC,OTHER,BLUE,0.85,0.1,0.02,0.08,0.02,0.95,0.47,11.28,APAC,12.99,USD,24,B2C,LOW,JA,0,9,9999-93,VN,DAP,0.08,0.02,1,0,UPS,12,0.0
538397,NE_LN_24521,1/24/25 22:55,12753,11,ACTIVE,Japan,nonEU,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,MISC,OTHER,RED,1.65,0.1,0.02,0.16,0.03,1.84,0.91,43.68,APAC,0.0,USD,48,B2C,MED,JA,0,32,9999-40,CN,DAP,0.16,0.03,1,0,UPS,12,0.0
C564138,NE_LN_285561,10/5/25 22:47,12753,11,ACTIVE,Japan,nonEU,23238,SET OF 4 KNICK KNACK TINS LONDON ,MISC,OTHER,UNKNOWN,3.75,0.1,0.02,0.38,0.08,4.21,2.06,-2.06,APAC,19.99,USD,-1,B2C,MED,JA,253,32,9999-07,EU,DAP,0.38,0.08,1,0,UPS,12,0.0
537218,NE_LN_9231,1/18/25 2:57,12763,2,NEW,Japan,nonEU,22940,FELTCRAFT CHRISTMAS FAIRY,MISC,OTHER,UNKNOWN,4.25,0.1,0.02,0.43,0.08,4.76,2.34,18.72,APAC,19.99,USD,8,B2C,LOW,JA,0,11,9999-55,CN,DAP,0.43,0.08,1,0,UPS,12,0.0
538397,NE_LN_24522,1/24/25 22:55,12753,11,ACTIVE,Japan,nonEU,22242,5 HOOK HANGER MAGIC TOADSTOOL,MISC,OTHER,UNKNOWN,1.65,0.1,0.02,0.16,0.03,1.84,0.91,32.76,APAC,0.0,USD,36,B2C,MED,JA,0,32,9999-21,US,DAP,0.16,0.03,1,0,UPS,12,0.0
557670,NE_LN_218161,8/4/25 21:22,12798,3,NEW,Japan,nonEU,22489,PACK OF 12 TRADITIONAL CRAYONS,MISC,OTHER,UNKNOWN,0.36,0.1,0.02,0.04,0.01,0.41,0.2,86.4,APAC,0.0,USD,432,B2C,LOW,JA,0,24,9999-78,VN,DAP,0.04,0.01,1,0,UPS,12,0.0
543518,NE_LN_79902,3/24/25 22:32,12753,11,ACTIVE,Japan,nonEU,22857,ASSORTED EASTER GIFT TAGS,MISC,OTHER,UNKNOWN,0.85,0.1,0.02,0.08,0.02,0.95,0.47,28.2,APAC,0.0,USD,60,B2C,MED,JA,58,32,9999-10,CN,DAP,0.08,0.02,1,0,UPS,12,0.0
542276,NE_LN_68299,3/11/25 21:30,12764,1,NEW,Lebanon,nonEU,21523,DOORMAT FANCY FONT HOME SWEET HOME,MISC,OTHER,UNKNOWN,7.95,0.11,0.02,0.87,0.16,8.98,4.37,17.48,ME,19.99,USD,4,B2C,LOW,AR/FR,0,6,9999-99,IN,DAP,0.87,0.16,1,0,DHL,10,0.0
571035,NE_LN_363202,11/26/25 0:01,12446,1,NEW,RSA,nonEU,21238,RED RETROSPOT CUP,MISC,OTHER,RED,0.85,0.15,0.02,0.13,0.02,1.0,0.47,3.76,AFRICA,19.99,USD,8,B2C,LOW,EN,0,19,9999-76,US,DAP,0.13,0.02,1,0,UPS,14,0.0
544838,NE_LN_93761,4/8/25 21:45,12565,2,NEW,Saudi Arabia,nonEU,22969,HOMEMADE JAM SCENTED CANDLES,CANDLE,OTHER,UNKNOWN,1.45,0.15,0.05,0.22,0.07,1.74,0.8,9.6,ME,12.99,USD,12,B2C,LOW,AR/EN,0,7,3406-04,IN,DAP,0.22,0.07,1,0,DHL,10,0.0
571239,NE_LN_365825,11/27/25 2:05,12744,10,ACTIVE,Singapore,nonEU,84997D,CHILDRENS CUTLERY POLKADOT PINK,MISC,OTHER,PINK,4.15,0.09,0.01,0.37,0.04,4.56,2.28,9.12,APAC,19.99,USD,4,B2C,MED,EN,262,25,9999-97,EU,DAP,0.37,0.04,1,0,UPS,12,0.0
